               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.018123,            0.033399,            0.003125,             0.91553,             0.88745,              0.9439,             0.74614,            0.017931,            0.017632,           0.0015799,            0.070048,            0.003328,            0.003328
                   1,            0.020763,            0.034296,           0.0037147,             0.89398,             0.88707,             0.93412,             0.71396,            0.019615,            0.018456,           0.0025116,            0.039389,           0.0060018,           0.0060018
                   2,            0.022031,            0.036388,           0.0050553,             0.88268,             0.85531,             0.91777,             0.68898,            0.020112,            0.019896,           0.0038191,           0.0080695,           0.0080157,           0.0080157
                   3,            0.022401,            0.038797,           0.0067834,              0.8644,             0.85423,             0.91466,             0.68819,            0.019864,            0.020084,           0.0038167,             0.00703,             0.00703,             0.00703
                   4,            0.022375,            0.039251,           0.0071565,             0.87599,             0.84073,             0.90953,             0.68141,            0.020915,            0.020123,           0.0048579,             0.00703,             0.00703,             0.00703
                   5,            0.021465,            0.038885,           0.0064417,             0.88929,             0.85326,             0.91678,             0.69358,            0.019532,            0.019825,           0.0033757,             0.00604,             0.00604,             0.00604
                   6,            0.020484,            0.038024,           0.0057348,             0.89667,             0.85696,             0.92808,             0.71621,            0.018898,            0.018994,           0.0029394,             0.00505,             0.00505,             0.00505
                   7,            0.019595,            0.037047,           0.0053776,             0.89568,             0.88018,              0.9365,             0.73269,            0.018246,            0.018344,           0.0021495,             0.00406,             0.00406,             0.00406
                   8,            0.018691,            0.036349,           0.0046875,             0.90421,             0.88472,             0.93757,             0.73712,              0.0177,            0.018192,           0.0021379,             0.00307,             0.00307,             0.00307
                   9,            0.017896,            0.035229,           0.0041382,             0.90235,             0.89551,             0.94276,             0.74898,             0.01725,            0.017759,           0.0016836,             0.00208,             0.00208,             0.00208
