               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052579,            0.055139,             0.06699,             0.39703,             0.25028,             0.24813,             0.13586,            0.032373,            0.024611,            0.057668,            0.070048,            0.003328,            0.003328
                   1,            0.037834,            0.046824,            0.044761,             0.57278,             0.70055,             0.63729,             0.40792,            0.028231,            0.021891,            0.030763,            0.039938,           0.0065514,           0.0065514
                   2,            0.035025,            0.043981,            0.024681,             0.71836,             0.69273,             0.72819,             0.46197,             0.02822,              0.0232,             0.02029,           0.0097186,           0.0096648,           0.0096648
                   3,            0.030552,            0.044201,            0.017548,             0.82405,             0.80895,             0.85343,             0.58895,            0.023694,            0.021485,            0.010218,            0.009505,            0.009505,            0.009505
                   4,            0.027872,            0.043257,             0.01406,             0.80915,             0.80326,             0.85141,             0.61661,            0.022562,             0.02172,            0.010135,            0.009505,            0.009505,            0.009505
                   5,            0.026472,             0.04176,            0.012179,              0.8383,             0.83477,             0.88534,             0.64671,             0.02184,            0.020711,           0.0071779,             0.00934,             0.00934,             0.00934
                   6,            0.025137,            0.040707,            0.010737,             0.85637,             0.85447,             0.90162,             0.67201,            0.020743,            0.019816,           0.0061394,            0.009175,            0.009175,            0.009175
                   7,            0.024515,             0.03994,           0.0098069,             0.86474,             0.85167,             0.90555,             0.68311,             0.01958,            0.019696,           0.0057142,             0.00901,             0.00901,             0.00901
                   8,            0.023559,            0.039368,           0.0091015,             0.85352,             0.81909,              0.8886,             0.67156,            0.020052,            0.020202,           0.0073703,            0.008845,            0.008845,            0.008845
                   9,            0.022954,            0.038055,           0.0082764,             0.88478,             0.86806,             0.92313,             0.71609,             0.01876,            0.018611,           0.0044481,             0.00868,             0.00868,             0.00868
                  10,             0.02229,            0.037186,            0.007754,             0.88484,             0.87928,             0.93112,             0.72182,            0.018408,            0.018286,           0.0044606,            0.008515,            0.008515,            0.008515
                  11,            0.021764,            0.036333,           0.0072046,             0.89439,             0.89423,             0.93579,               0.743,            0.017545,            0.017732,           0.0035218,             0.00835,             0.00835,             0.00835
                  12,            0.021374,            0.035532,           0.0064912,             0.89779,             0.88084,             0.93506,             0.74042,            0.017383,            0.017685,           0.0039386,            0.008185,            0.008185,            0.008185
                  13,            0.020672,            0.035094,           0.0065339,             0.89862,             0.88826,             0.93799,             0.74593,            0.017149,            0.017462,           0.0031624,             0.00802,             0.00802,             0.00802
                  14,            0.020326,            0.034938,           0.0061019,              0.9143,             0.89437,             0.94447,             0.75809,            0.016655,             0.01684,           0.0032001,            0.007855,            0.007855,            0.007855
                  15,            0.019855,            0.034027,           0.0057997,             0.90793,             0.90635,             0.94688,             0.76564,            0.016419,            0.016646,           0.0029647,             0.00769,             0.00769,             0.00769
                  16,            0.019583,             0.03306,            0.005365,             0.90775,             0.90405,             0.95179,             0.77189,            0.016072,            0.016683,            0.003005,            0.007525,            0.007525,            0.007525
                  17,            0.018986,            0.032401,           0.0052438,               0.918,             0.90836,             0.95506,             0.77729,             0.01584,            0.016275,           0.0025399,             0.00736,             0.00736,             0.00736
                  18,            0.018802,            0.032286,           0.0049054,             0.92079,             0.91175,             0.95503,             0.78837,            0.015356,            0.015849,           0.0024803,            0.007195,            0.007195,            0.007195
                  19,            0.018404,              0.0317,           0.0047455,               0.913,             0.90906,             0.95353,             0.78639,            0.015306,            0.016028,            0.002408,             0.00703,             0.00703,             0.00703
                  20,            0.018001,            0.031337,           0.0046663,             0.92824,             0.89586,             0.94987,             0.78455,            0.015215,            0.016131,           0.0029847,            0.006865,            0.006865,            0.006865
                  21,            0.017763,            0.030884,           0.0046351,             0.91954,             0.91471,             0.95679,             0.79773,            0.014821,             0.01574,           0.0024673,              0.0067,              0.0067,              0.0067
                  22,             0.01757,            0.030621,           0.0043479,             0.92943,             0.92366,             0.96082,              0.8039,            0.014586,            0.015282,           0.0021258,            0.006535,            0.006535,            0.006535
                  23,            0.017071,            0.029572,           0.0040813,             0.93121,             0.92653,             0.96151,             0.80616,            0.014265,            0.015194,            0.001965,             0.00637,             0.00637,             0.00637
                  24,            0.016861,            0.029202,           0.0039201,             0.93007,             0.92799,               0.962,             0.80889,            0.014126,            0.014945,           0.0020068,            0.006205,            0.006205,            0.006205
                  25,            0.016523,            0.029162,           0.0038237,             0.94055,             0.92476,             0.96463,             0.81723,            0.013754,            0.014667,           0.0019314,             0.00604,             0.00604,             0.00604
                  26,            0.016081,            0.028773,            0.003816,             0.94568,             0.92371,             0.96512,             0.81924,            0.013628,            0.014501,           0.0017545,            0.005875,            0.005875,            0.005875
                  27,            0.016063,            0.028062,           0.0036144,             0.93478,             0.91667,             0.95998,             0.81723,            0.013752,            0.014935,           0.0018933,             0.00571,             0.00571,             0.00571
                  28,            0.015739,            0.027827,           0.0034518,             0.93094,             0.93053,             0.96121,             0.82085,            0.013426,            0.014487,           0.0018239,            0.005545,            0.005545,            0.005545
                  29,             0.01563,            0.027401,           0.0033087,             0.94276,             0.92253,             0.96705,             0.82833,            0.013227,            0.014266,           0.0017248,             0.00538,             0.00538,             0.00538
                  30,             0.01524,             0.02705,           0.0031822,              0.9466,             0.92223,             0.96533,             0.83053,             0.01304,            0.014143,           0.0016057,            0.005215,            0.005215,            0.005215
                  31,            0.014956,            0.026206,            0.002917,             0.94688,             0.92686,              0.9664,              0.8355,            0.012888,            0.014019,           0.0015007,             0.00505,             0.00505,             0.00505
                  32,            0.014776,              0.0262,           0.0030228,             0.94346,             0.93392,             0.96478,             0.83441,            0.012752,            0.013984,            0.001545,            0.004885,            0.004885,            0.004885
                  33,            0.014437,            0.025819,           0.0029646,             0.95073,             0.92989,             0.96679,             0.84045,            0.012532,            0.013663,           0.0014133,             0.00472,             0.00472,             0.00472
                  34,            0.014222,             0.02562,           0.0027242,             0.93997,             0.93382,             0.96646,             0.84098,            0.012475,            0.013724,           0.0013709,            0.004555,            0.004555,            0.004555
                  35,            0.013954,            0.025022,           0.0026079,             0.94174,             0.93349,             0.96762,             0.84317,             0.01237,            0.013586,           0.0012891,             0.00439,             0.00439,             0.00439
                  36,            0.013837,             0.02469,           0.0025574,             0.94743,             0.93583,             0.96844,             0.84613,            0.012231,            0.013448,           0.0013942,            0.004225,            0.004225,            0.004225
                  37,            0.013581,            0.024161,           0.0024944,             0.94604,              0.9325,             0.96585,             0.84724,            0.012105,             0.01356,           0.0012893,             0.00406,             0.00406,             0.00406
                  38,            0.013242,            0.023995,           0.0023271,             0.96085,             0.92134,             0.96915,             0.84873,            0.012061,            0.013398,           0.0011534,            0.003895,            0.003895,            0.003895
                  39,            0.013071,             0.02355,           0.0022745,             0.95189,             0.92994,             0.96826,             0.85246,            0.011908,            0.013275,           0.0011797,             0.00373,             0.00373,             0.00373
                  40,            0.012796,            0.023493,           0.0022204,             0.94536,             0.93094,             0.96739,             0.85332,            0.011819,            0.013342,           0.0010518,            0.003565,            0.003565,            0.003565
                  41,            0.012565,            0.022976,           0.0021056,             0.94336,             0.93515,               0.968,             0.85596,            0.011777,            0.013208,           0.0010728,              0.0034,              0.0034,              0.0034
                  42,             0.01235,            0.022497,           0.0020613,             0.94518,             0.93123,             0.96739,             0.85636,            0.011593,            0.013283,           0.0010432,            0.003235,            0.003235,            0.003235
                  43,            0.012168,            0.022005,            0.001958,             0.95206,             0.93028,             0.96813,             0.85923,             0.01147,            0.013349,           0.0010559,             0.00307,             0.00307,             0.00307
                  44,            0.011969,            0.022037,           0.0018223,              0.9508,              0.9322,             0.96818,             0.86121,            0.011349,            0.012992,          0.00094241,            0.002905,            0.002905,            0.002905
                  45,            0.011753,            0.021719,           0.0018198,              0.9554,             0.92622,              0.9681,               0.863,             0.01131,            0.013208,          0.00091259,             0.00274,             0.00274,             0.00274
                  46,            0.011514,            0.021423,           0.0018062,             0.95203,              0.9326,             0.96801,             0.86312,            0.011249,            0.013012,          0.00095755,            0.002575,            0.002575,            0.002575
                  47,            0.011288,             0.02106,           0.0016834,             0.95134,             0.93225,             0.96829,             0.86483,            0.011274,            0.013043,           0.0010091,             0.00241,             0.00241,             0.00241
                  48,            0.011136,            0.020876,           0.0016835,             0.95321,             0.93189,             0.96916,             0.86782,            0.011106,            0.012946,          0.00099284,            0.002245,            0.002245,            0.002245
                  49,            0.010793,            0.020207,           0.0015943,             0.94735,             0.93892,             0.96991,             0.86857,            0.011093,             0.01292,          0.00090363,             0.00208,             0.00208,             0.00208
                  50,            0.010566,            0.019904,           0.0014998,             0.94787,             0.93897,             0.96861,             0.87011,            0.010934,            0.012891,          0.00085345,            0.001915,            0.001915,            0.001915
                  51,            0.010444,            0.019843,           0.0014656,             0.95609,             0.93267,             0.97056,             0.87129,             0.01084,            0.012831,          0.00080161,             0.00175,             0.00175,             0.00175
                  52,            0.010436,            0.020867,           0.0017141,             0.95007,             0.93857,             0.97047,             0.87236,            0.010814,            0.012704,          0.00078853,            0.001585,            0.001585,            0.001585
                  53,           0.0099194,            0.019207,            0.001331,             0.95242,             0.93857,             0.97087,             0.87403,            0.010793,            0.012762,          0.00075999,             0.00142,             0.00142,             0.00142
                  54,            0.009762,            0.018758,           0.0013393,             0.95176,             0.93969,             0.97105,             0.87465,            0.010725,            0.012736,          0.00074053,            0.001255,            0.001255,            0.001255
                  55,           0.0095272,            0.018456,           0.0012166,             0.95074,             0.94077,             0.97024,             0.87515,            0.010685,            0.012725,           0.0007647,             0.00109,             0.00109,             0.00109
                  56,            0.009283,            0.018219,           0.0011662,             0.95521,             0.93583,             0.97012,             0.87684,            0.010644,            0.012735,          0.00073889,            0.000925,            0.000925,            0.000925
                  57,           0.0090866,            0.017936,           0.0010912,             0.95311,             0.93668,             0.96936,             0.87751,            0.010614,            0.012796,          0.00072683,             0.00076,             0.00076,             0.00076
                  58,           0.0088419,            0.017369,            0.001011,             0.95337,             0.93638,             0.96912,             0.87819,            0.010568,            0.012861,          0.00072696,            0.000595,            0.000595,            0.000595
                  59,           0.0087152,            0.017304,           0.0010437,             0.95555,             0.93616,             0.96972,             0.87976,            0.010511,            0.012862,          0.00071328,             0.00043,             0.00043,             0.00043
